%time,field.header.seq,field.header.stamp,field.header.frame_id,field.utc_time,field.latitude,field.longitude,field.depth,field.altitude,field.roll,field.pitch,field.heading,field.fwd_velocity,field.stbd_velocity,field.dwn_velocity,field.fwd_ang_rate,field.stbd_ang_rate,field.dwn_ang_rate,field.sound_velocity,field.temperature,field.position_quality,field.heading_quality,field.velocity_quality,field.error,field.mode,field.heading_valid,field.altitude_valid,field.velocity_valid,field.depth_valid,field.sound_velocity_valid,field.temperature_valid,field.position_valid,field.utc_time_valid
1652282688066681502,1793,1652282688066681502,world,1652282688.057535,51.245763413608074,-2.423146767541766,13.049,0.0,-1.2925,-3.377,207.9825,-0.027,-0.008,-0.013000000000000001,0.0,0.46199999999999997,-0.033,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688091681268,1794,1652282688091681268,world,1652282688.077534,51.245763413608074,-2.423146767541766,13.049,0.0,-1.2979999999999998,-3.3825,207.988,-0.028,-0.007,-0.012,-0.572,-0.45099999999999996,0.044,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688106695392,1795,1652282688106695392,world,1652282688.097535,51.245763413608074,-2.423146767541766,13.048,0.0,-1.2979999999999998,-3.388,207.988,-0.028,-0.012,-0.013000000000000001,0.253,-0.473,0.05499999999999999,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688126711126,1796,1652282688126711126,world,1652282688.117534,51.24576345551759,-2.4231466837227345,13.048,0.0,-1.287,-3.388,207.988,-0.027,-0.011,-0.014,-0.187,0.253,0.066,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688146701927,1797,1652282688146701927,world,1652282688.1375349,51.24576345551759,-2.4231466837227345,13.048,0.0,-1.2979999999999998,-3.377,207.988,-0.028,-0.008,-0.014,-0.638,0.34099999999999997,0.044,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688166702757,1798,1652282688166702757,world,1652282688.157534,51.24576345551759,-2.4231466837227345,13.047,0.0,-1.2979999999999998,-3.3825,207.988,-0.029,-0.01,-0.014,-0.033,-0.176,-0.022,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688186712086,1799,1652282688186712086,world,1652282688.177536,51.24576345551759,-2.4231466837227345,13.047,0.0,-1.2925,-3.3825,207.9825,-0.027,-0.012,-0.013000000000000001,0.9349999999999999,0.27499999999999997,-0.132,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688206696836,1800,1652282688206696836,world,1652282688.197533,51.24576345551759,-2.4231466837227345,13.047,0.0,-1.2925,-3.377,207.9825,-0.028,-0.009000000000000001,-0.014,0.242,0.286,-0.154,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688226689863,1801,1652282688226689863,world,1652282688.217535,51.24576345551759,-2.4231466837227345,13.047,0.0,-1.3034999999999999,-3.3825,207.9825,-0.029,-0.007,-0.014,-0.8029999999999999,-0.418,0.0,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688251695884,1802,1652282688251695884,world,1652282688.2375338,51.24576345551759,-2.4231466837227345,13.046000000000001,0.0,-1.3034999999999999,-3.3825,207.9825,-0.028,-0.012,-0.014,0.154,-0.176,0.0,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688266700523,1803,1652282688266700523,world,1652282688.257536,51.24576345551759,-2.4231466837227345,13.046000000000001,0.0,-1.2925,-3.377,207.9825,-0.027,-0.01,-0.015,-0.429,0.506,0.05499999999999999,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688291692452,1804,1652282688291692452,world,1652282688.277534,51.24576345551759,-2.4231466837227345,13.046000000000001,0.0,-1.3034999999999999,-3.3714999999999997,207.9825,-0.029,-0.007,-0.014,-0.352,0.044,0.05499999999999999,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688311702878,1805,1652282688311702878,world,1652282688.297535,51.245763706974685,-2.4231464322656393,13.06,0.0,-1.309,-3.377,207.9825,-0.032,-0.01,-0.011,0.088,-0.308,0.011,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688351701643,1806,1652282688351701643,world,1652282688.317534,51.245763706974685,-2.4231464322656393,13.059000000000001,0.0,-1.3034999999999999,-3.3825,207.9825,-0.031,-0.012,-0.013000000000000001,0.869,0.418,-0.022,1449.3899999999999,13.75,0.48625704646110535,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688356690176,1807,1652282688356690176,world,1652282688.337535,51.245763706974685,-2.4231464322656393,13.059000000000001,0.0,-1.3034999999999999,-3.3659999999999997,207.9825,-0.031,-0.009000000000000001,-0.012,-0.19799999999999998,0.583,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688371720222,1808,1652282688371720222,world,1652282688.357534,51.245763706974685,-2.4231464322656393,13.059000000000001,0.0,-1.3145,-3.3714999999999997,207.988,-0.032,-0.009000000000000001,-0.011,-0.605,-0.616,0.044,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688386689004,1809,1652282688386689004,world,1652282688.3775349,51.245763706974685,-2.4231464322656393,13.059000000000001,0.0,-1.3145,-3.377,207.988,-0.031,-0.012,-0.011,0.121,-0.627,0.011,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
